phylum	n	kingdom
Tracheophyta	117786349	Plantae
Mollusca	10359992	Animalia
Marchantiophyta	1788919	Plantae
Arthropoda	71109687	Animalia
Basidiomycota	5419970	Fungi
Chordata	34131556	Animalia
Bryophyta	6361139	Plantae
Ascomycota	8127802	Fungi
Oomycota	117123	Chromista
Rhodophyta	1446580	Plantae
	5306152	
Chlorophyta	571900	Plantae
Ochrophyta	2227722	Chromista
Cyanobacteria	199738	Bacteria
Charophyta	182391	Plantae
Euglenozoa	23971	Protozoa
Anthocerotophyta	22532	Plantae
Myzozoa	787035	Chromista
Mycetozoa	405066	Protozoa
Brachiopoda	39725	Animalia
Amoebozoa	5889	Protozoa
Platyhelminthes	318519	Animalia
Glomeromycota	8678	Fungi
Proteobacteria	29879	Bacteria
Entomophthoromycota	3484	Fungi
Bryozoa	274257	Animalia
Nematoda	388235	Animalia
Acanthocephala	19859	
Ciliophora	247516	
Cercozoa	2481	Chromista
Mucoromycota	17269	Fungi
Zoopagomycota	1186	Fungi
Blastocladiomycota	4589	Fungi
Chytridiomycota	11548	Fungi
Porifera	346713	Animalia
Cnidaria	874672	Animalia
Echinodermata	896935	Animalia
Annelida	1608035	Animalia
Microsporidia	854	Protozoa
Nematomorpha	5391	Animalia
Haptophyta	44288	Chromista
Actinobacteriota	13195	Bacteria
Onychophora	4507	
Gastrotricha	1920	Animalia
Choanozoa	2124	Protozoa
Bigyra	1597	Chromista
Metamonada	1381	Protozoa
Neocallimastigomycota	41	Fungi
Nemertea	36702	Animalia
Sipuncula	33480	Animalia
Foraminifera	167998	Chromista
Tardigrada	52660	Animalia
Zygomycota	176	Fungi
Firmicutes_B	790	Bacteria
Xenacoelomorpha	5166	Animalia
Phoronida	4931	Animalia
Firmicutes_A	373	Bacteria
Desulfobacterota_I	18	Bacteria
Bacteroidota	1690	Bacteria
Cryptophyta	14490	Chromista
Hemichordata	7104	Animalia
Myxococcota	532	Bacteria
Firmicutes	11757	Bacteria
Spirochaetota	265	Bacteria
Kitrinoviricota	1023	Viruses
Chlamydiota	25	Bacteria
Chaetognatha	216240	Animalia
Priapulida	4092	Animalia
Ctenophora	4607	
Entoprocta	1900	Animalia
Kinorhyncha	11936	Animalia
Artverviricota	99	Viruses
Duplornaviricota	101	Viruses
Negarnaviricota	182	Viruses
Peploviricota	32	Viruses
Gnathostomulida	366	Animalia
Rotifera	86078	Animalia
Campylobacterota	171	Bacteria
Halobacteriota	160	Archaea
Nitrospirota	109	Bacteria
Deinococcota	123	Bacteria
Pisuviricota	563	Viruses
Cycliophora	576	Animalia
Methanobacteriota_B	11	Archaea
Cressdnaviricota	70	Viruses
Myxococcota_A	2	Bacteria
Dicyemida	920	Animalia
Glaucophyta	73	Plantae
Orthonectida	188	Animalia
Sarcomastigophora	251	Protozoa
Aenigmatarchaeota	15	Archaea
Heliozoa	62	Chromista
Loricifera	1201	Animalia
Acidobacteriota	222	Bacteria
Nucleocytoviricota	32	Viruses
Firmicutes_F	8	Bacteria
Micrognathozoa	71	Animalia
Preplasmiviricota	2	Viruses
Thermoplasmatota	14	Archaea
Caldisericota	1	Bacteria
Calditrichota	1	Bacteria
Sp	7	
Desulfobacterota	37	Bacteria
Chloroflexota	218	Bacteria
Verrucomicrobiota	151	Bacteria
Thermotogota	9	Bacteria
Bdellovibrionota	22	Bacteria
Firmicutes_C	46	Bacteria
Planctomycetota	181	Bacteria
Methanobacteriota	8	Archaea
Gemmatimonadota	161	Bacteria
Thermoproteota	115	Archaea
Armatimonadota	98	Bacteria
Aquificota	3	Bacteria
Synergistota	2	Bacteria
Firmicutes_E	4	Bacteria
Nanohaloarchaeota	1	Archaea
Sulcozoa	9	Protozoa
Fusobacteriota	11	Bacteria
Fibrobacterota	83	Bacteria
Elusimicrobiota	83	Bacteria
Deferribacterota	83	Bacteria
Placozoa	8	Animalia
Cossaviricota	2	Viruses
Langiophytophyta	2	Plantae
Uroviricota	4	Viruses
Picozoa	1264	Chromista
Patescibacteria	1	Bacteria
Loukozoa	1	Protozoa
