total_rows	column_name	true_count	false_count	true_percentage
165939896	0PhysicalSpecimenID	165939895	1	99.99999939737216
165939896	0Organization	160764067	5175829	96.88090138371547
165939896	1Name	163287426	2652470	98.40154775075911
165939896	1ObjectType	60359450	105580446	36.37428457831503
165939896	1License	165939896	0	100
165939896	1Modified	90474714	75465182	54.522580874704175
165939896	2QualitativeLocation	152571769	13368127	91.94399458946269
165939896	2QuantitativeLocation	91678841	74261055	55.248221319844625
165939896	2CollectingAgent	122249685	43690211	73.67106280457112
165939896	2DateCollected	130788239	35151657	78.81663310190335
165939896	2CollectingNumber	61291238	104648658	36.935805961936964
165939896	2Media	157074060	8865836	94.65720046009912
165939896	3GeographicalLocalityID	13298620	152641276	8.014118557721646
165939896	3OrganizationID	55897007	110042889	33.68509222158365
165939896	3CollectingAgentID	0	165939896	0
165939896	3IdentifiedAsID	162971594	2968302	98.21121859688282
165939896	3IdentifiedByID	0	165939896	0
165939896	3MediaID	156758070	9181826	94.46677609102515
165939896	-1	5175830		3.1190992189123707
165939896	0	117485356		70.79994554172795
165939896	1	32564401		19.624214420382668
165939896	2	10714309		6.456740818977011
