total_rows	column_name	true_count	false_count	true_percentage
234322525	0PhysicalSpecimenID	234322525	0	100
234322525	0Organization	225035047	9287478	96.03645530876726
234322525	1Name	230956676	3365849	98.56358282243673
234322525	1ObjectType	85063870	149258655	36.302045652674664
234322525	1License	234322525	0	100
234322525	1Modified	126219529	108102996	53.86572588358717
234322525	2QualitativeLocation	216706644	17615881	92.48220758973129
234322525	2QuantitativeLocation	138747501	95575024	59.21219097481132
234322525	2CollectingAgent	172997782	61324743	73.82891678894293
234322525	2DateCollected	192471852	41850673	82.13971405437867
234322525	2CollectingNumber	100226320	134096205	42.772806412870466
234322525	2Media	90858999	143463526	38.77518774603509
234322525	3GeographicalLocalityID	25652567	208669958	10.947546335974316
234322525	3OrganizationID	102411060	131911465	43.7051708963959
234322525	3CollectingAgentID	4977857	229344668	2.1243612836623367
234322525	3IdentifiedAsID	230677638	3644887	98.44449994724152
234322525	3IdentifiedByID	2614751	231707774	1.1158769307389462
234322525	3MediaID	0	234322525	0
234322525	0	168202812		71.78260476665656
234322525	1	51594636		22.01864118697082
234322525	-1	9287478		3.9635446912327357
234322525	2	5237599		2.2352093551398866
