MIDS_level	n	percent	year
-1	1677877	3.628180269339694	2018
0	33506226	72.45264585737611	2018
1	10622338	22.969357793126235	2018
2	439249	0.9498160801579564	2018
-1	3640776	14.849468879597985	2019
0	13630223	55.59297585473006	2019
1	6582887	26.849324332068257	2019
2	664001	2.708230933603699	2019
-1	3820176	10.147371832246703	2020
0	26128496	69.40401812098987	2020
1	7197383	19.118103857018962	2020
2	500895	1.3305061897444548	2020
-1	365943	1.4576052801889987	2021
0	21855599	87.05409450131141	2021
1	2751276	10.958740636813022	2021
2	132950	0.529559581686567	2021
-1	4860308	24.531922968384546	2022
0	11100059	56.026447775022405	2022
1	3675250	18.550460153874056	2022
2	176560	0.8911691027189995	2022
-1	5999139	23.975404897799162	2023
0	16703136	66.75365392650603	2023
1	2074684	8.291421308121976	2023
2	245096	0.9795198675728273	2023
-1	1169587	4.666530850596418	2024
0	19878976	79.31505290522703	2024
1	3872981	15.45279258428297	2024
2	141764	0.5656236598935783	2024
-1	1726880	6.993861740982657	2025
0	18349501	74.31545504610801	2025
1	4267996	17.285378216822835	2025
2	346989	1.4053049960864863	2025
-1	831030	3.1919263694108495	2026
0	18486499	71.00531104314803	2026
1	6387040	24.53216056999371	2026
2	330806	1.2706020174474153	2026
