total_rows	column_name	true_count	false_count	true_percentage
128050490	0PhysicalSpecimenID	128050489	1	99.99999921905804
128050490	0Organization	126881183	1169307	99.0868391054185
128050490	1Name	126979232	1071258	99.16340968316482
128050490	1ObjectType	47541498	80508992	37.127150392005525
128050490	1License	128050489	1	99.99999921905804
128050490	1Modified	60197066	67853424	47.01041440762936
128050490	2QualitativeLocation	119124919	8925571	93.02964713372046
128050490	2QuantitativeLocation	74466663	53583827	58.15414138594862
128050490	2CollectingAgent	97128638	30921852	75.85182844673223
128050490	2DateCollected	99176475	28874015	77.45107027704462
128050490	2CollectingNumber	50846030	77204460	39.70779807246345
128050490	2Media	108416647	19633843	84.66710826331082
128050490	3GeographicalLocalityID	12451667	115598823	9.72402917005628
128050490	3OrganizationID	36948697	91101793	28.854787670082327
128050490	3CollectingAgentID	0	128050490	0
128050490	3IdentifiedAsID	126978697	1071793	99.1629918792189
128050490	3IdentifiedByID	0	128050490	0
128050490	3MediaID	108094377	19956113	84.41543409947123
