total_rows	column_name	true_count	false_count	true_percentage
194422744	0PhysicalSpecimenID	194422743	1	99.99999948565689
194422744	0Organization	186171573	8251171	95.75606699594775
194422744	1Name	191303416	3119328	98.39559511617632
194422744	1ObjectType	76455908	117966836	39.32456996903613
194422744	1License	194422744	0	100
194422744	1Modified	87732246	106690498	45.124476794751956
194422744	2QualitativeLocation	179396880	15025864	92.27155028734704
194422744	2QuantitativeLocation	112926225	81496519	58.082826461908176
194422744	2CollectingAgent	143055658	51367086	73.57969291905478
194422744	2DateCollected	158030203	36392541	81.28174705732988
194422744	2CollectingNumber	82950371	111472373	42.664952306197264
194422744	2Media	185647893	8774851	95.48671579288069
194422744	3GeographicalLocalityID	18960216	175462528	9.752056580376212
194422744	3OrganizationID	76009939	118412805	39.095188883868445
194422744	3CollectingAgentID	3253167	191169577	1.6732440521464917
194422744	3IdentifiedAsID	191043427	3379317	98.26187156375079
194422744	3IdentifiedByID	1498833	192923911	0.7709144358131269
194422744	3MediaID	185546267	8876477	95.43444515935852
194422744	0	142136422		73.10689021033465
194422744	1	30037303		15.449480025855411
194422744	2	13997847		7.19969624541458
194422744	-1	8251172		4.243933518395358
