total_rows	column_name	true_count	false_count	true_percentage
255069773	0PhysicalSpecimenID	255069773	0	100
255069773	0Organization	244239310	10830463	95.75392141819957
255069773	1Name	251974001	3095772	98.7863038557689
255069773	1ObjectType	91261417	163808356	35.77900114413008
255069773	1License	255069773	0	100
255069773	1Modified	163104060	91965713	63.944879897627075
255069773	2QualitativeLocation	237234265	17835508	93.00759639598691
255069773	2QuantitativeLocation	151603490	103466283	59.4360861410262
255069773	2CollectingAgent	190465614	64604159	74.67196593302336
255069773	2DateCollected	211346300	43723473	82.8582303242964
255069773	2CollectingNumber	111675172	143394601	43.78220542815946
255069773	2Media	115017026	140052747	45.09237791966828
255069773	3GeographicalLocalityID	28083255	226986518	11.01002861675813
255069773	3OrganizationID	107564477	147505296	42.17060913760252
255069773	3CollectingAgentID	5956657	249113116	2.33530493634775
255069773	3IdentifiedAsID	251639701	3430072	98.65524167773498
255069773	3IdentifiedByID	2979137	252090636	1.1679694402676244
255069773	3MediaID	70193061	184876712	27.519160806247317
255069773	-1	10830463		4.24607858180044
255069773	0	172410914		67.59362819521543
255069773	1	64737398		25.38027036233729
255069773	2	7090952		2.780004826365686
255069773	3	46		1.80342811533376e-5
