total_rows	column_name	true_count	false_count	true_percentage
272222664	0PhysicalSpecimenID	272222664	0	100
272222664	0Organization	261974994	10247670	96.23555590507335
272222664	1Name	269139666	3082998	98.86747196038019
272222664	1ObjectType	98122742	174099922	36.04503040202413
272222664	1License	272222664	0	100
272222664	1Modified	185946179	86276485	68.30664878072018
272222664	2QualitativeLocation	253536104	18686560	93.13556052775974
272222664	2QuantitativeLocation	161363929	110858735	59.27644914972987
272222664	2CollectingAgent	204930936	67291728	75.28062983029216
272222664	2DateCollected	227043155	45179509	83.40347260726242
272222664	2CollectingNumber	120789628	151433036	44.3716280728191
272222664	2Media	124094517	148128147	45.58566695975027
272222664	3GeographicalLocalityID	29244145	242978519	10.7427297089415
272222664	3OrganizationID	118476257	153746407	43.52181969683465
272222664	3CollectingAgentID	6476977	265745687	2.3792938122154297
272222664	3IdentifiedAsID	268914279	3308385	98.78467687025501
272222664	3IdentifiedByID	3269928	268952736	1.2011960914466695
272222664	3MediaID	80202135	192020529	29.46196096295641
272222664	2	6432234		2.362857634807365
272222664	1	69301356		25.45759966554438
272222664	0	186241358		68.41508170678985
272222664	-1	10247670		3.7644440949266444
272222664	3	46		1.689793176074421e-5
